name,weekly_gross_eur,annual_gross_eur,adjusted_gross_eur,position,age,country,club,season,league,verified,bonus_gross_eur,signed,expiration,years,total_gross_eur,release_eur,status,position_detail,active
Memphis Depay,"€ 168,269","€ 8,750,000","€ 8,750,000",F,28,Netherlands,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Nacho Fernandez,"€ 164,231","€ 8,540,000","€ 8,540,000",D,33,Spain,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Mario Hermoso,"€ 160,192","€ 8,330,000","€ 8,330,000",D,27,Spain,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Eduardo Camavinga,"€ 160,192","€ 8,330,000","€ 8,330,000",M,20,France,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Mariano Diaz,"€ 160,192","€ 8,330,000","€ 8,330,000",F,29,Dominican Republic,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Rodrygo,"€ 160,192","€ 8,330,000","€ 8,330,000",F,22,Brazil,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Axel Witsel,"€ 160,192","€ 8,330,000","€ 8,330,000",M,34,Belgium,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Marcos Llorente,"€ 160,192","€ 8,330,000","€ 8,330,000",M,28,Spain,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Federico Valverde,"€ 156,346","€ 8,130,000","€ 8,130,000",M,24,Uruguay,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Felipe,"€ 145,385","€ 7,560,000","€ 7,560,000",D,33,Brazil,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Eder Militao,"€ 140,192","€ 7,290,000","€ 7,290,000",D,25,Brazil,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Alvaro Odriozola,"€ 140,192","€ 7,290,000","€ 7,290,000",D,27,Spain,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Ronald Araujo,"€ 134,615","€ 7,000,000","€ 7,000,000",D,23,Uruguay,Barcelona,2022-2023,la-liga,,,,,,,,,,
Geoffrey Kondogbia,"€ 132,692","€ 6,900,000","€ 6,900,000",M,29,Central African Republic,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Nabil Fekir,"€ 130,769","€ 6,800,000","€ 6,800,000",F,29,France,Real Betis,2022-2023,la-liga,,,,,,,,,,
Gavi,"€ 130,769","€ 6,800,000","€ 6,800,000",M,18,Spain,Barcelona,2022-2023,la-liga,,,,,,,,,,
Luiz Felipe,"€ 128,269","€ 6,670,000","€ 6,670,000",D,25,Italy,Real Betis,2022-2023,la-liga,,,,,,,,,,
Rodrigo de Paul,"€ 128,269","€ 6,670,000","€ 6,670,000",M,28,Argentina,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Ivan Rakitic,"€ 124,038","€ 6,450,000","€ 6,450,000",M,34,Croatia,Sevilla,2022-2023,la-liga,,,,,,,,,,
Marcos Alonso,"€ 120,192","€ 6,250,000","€ 6,250,000",D,32,Spain,Barcelona,2022-2023,la-liga,,,,,,,,,,
Eric Garcia,"€ 115,385","€ 6,000,000","€ 6,000,000",D,22,Spain,Barcelona,2022-2023,la-liga,,,,,,,,,,
Jose Gaya,"€ 112,115","€ 5,830,000","€ 5,830,000",D,27,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Geronimo Rulli,"€ 104,231","€ 5,420,000","€ 5,420,000",K,30,Argentina,Villarreal,2022-2023,la-liga,,,,,,,,,,
Gabriel Paulista,"€ 102,500","€ 5,330,000","€ 5,330,000",D,32,Brazil,Valencia,2022-2023,la-liga,,,,,,,,,,
David Silva,"€ 101,923","€ 5,300,000","€ 5,300,000",F,37,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Munir El Haddadi,"€ 100,962","€ 5,250,000","€ 5,250,000",F,27,Morocco,Getafe,2022-2023,la-liga,,,,,,,,,,
Sergi Roberto,"€ 96,154","€ 5,000,000","€ 5,000,000",D,30,Spain,Barcelona,2022-2023,la-liga,,,,,,,,,,
Raul de Tomas,"€ 92,692","€ 4,820,000","€ 4,820,000",F,27,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Borja Mayoral,"€ 92,115","€ 4,790,000","€ 4,790,000",F,25,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
Vedat Muriqi,"€ 88,077","€ 4,580,000","€ 4,580,000",F,28,Kosovo,Mallorca,2022-2023,la-liga,,,,,,,,,,
Stefan Savic,"€ 86,538","€ 4,500,000","€ 4,500,000",D,32,Montenegro,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Jesus Navas,"€ 84,615","€ 4,400,000","€ 4,400,000",D,37,Spain,Sevilla,2022-2023,la-liga,,,,,,,,,,
Denis Suarez,"€ 84,231","€ 4,380,000","€ 4,380,000",F,28,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Denis Suarez,"€ 84,231","€ 4,380,000","€ 4,380,000",F,29,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Marcao,"€ 84,231","€ 4,380,000","€ 4,380,000",D,26,Brazil,Sevilla,2022-2023,la-liga,,,,,,,,,,
Unai Simon,"€ 82,308","€ 4,280,000","€ 4,280,000",K,25,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Yuri Berchiche,"€ 82,308","€ 4,280,000","€ 4,280,000",D,32,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Matt Doherty,"€ 80,769","€ 4,200,000","€ 4,200,000",D,31,Ireland,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Tanguy Nianzou,"€ 80,192","€ 4,170,000","€ 4,170,000",D,20,France,Sevilla,2022-2023,la-liga,,,,,,,,,,
Edinson Cavani,"€ 80,192","€ 4,170,000","€ 4,170,000",F,35,Uruguay,Valencia,2022-2023,la-liga,,,,,,,,,,
Roque Mesa,"€ 80,000","€ 4,160,000","€ 4,160,000",M,33,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Giovani Lo Celso,"€ 79,231","€ 4,120,000","€ 4,120,000",M,26,Argentina,Villarreal,2022-2023,la-liga,,,,,,,,,,
Nemanja Gudelj,"€ 78,846","€ 4,100,000","€ 4,100,000",M,31,Serbia,Sevilla,2022-2023,la-liga,,,,,,,,,,
Mouctar Diakhaby,"€ 76,923","€ 4,000,000","€ 4,000,000",D,26,Guinea,Valencia,2022-2023,la-liga,,,,,,,,,,
Jose Gimenez,"€ 76,923","€ 4,000,000","€ 4,000,000",D,28,Uruguay,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Papu Gomez,"€ 74,231","€ 3,860,000","€ 3,860,000",F,34,Argentina,Sevilla,2022-2023,la-liga,,,,,,,,,,
Pau Torres,"€ 73,077","€ 3,800,000","€ 3,800,000",D,26,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Dani Parejo,"€ 73,077","€ 3,800,000","€ 3,800,000",M,33,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Justin Kluivert,"€ 72,115","€ 3,750,000","€ 3,750,000",F,23,Netherlands,Valencia,2022-2023,la-liga,,,,,,,,,,
Francis Coquelin,"€ 71,923","€ 3,740,000","€ 3,740,000",M,31,France,Villarreal,2022-2023,la-liga,,,,,,,,,,
Gerard Moreno,"€ 69,615","€ 3,620,000","€ 3,620,000",F,30,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Joan Jordan,"€ 69,231","€ 3,600,000","€ 3,600,000",M,28,Spain,Sevilla,2022-2023,la-liga,,,,,,,,,,
Mikel Oyarzabal,"€ 69,231","€ 3,600,000","€ 3,600,000",F,25,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
David Lopez,"€ 68,462","€ 3,560,000","€ 3,560,000",D,33,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Angel Correa,"€ 67,308","€ 3,500,000","€ 3,500,000",F,27,Argentina,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Nico Williams,"€ 67,308","€ 3,500,000","€ 3,500,000",F,20,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Thomas Delaney,"€ 66,731","€ 3,470,000","€ 3,470,000",M,31,Denmark,Sevilla,2022-2023,la-liga,,,,,,,,,,
Loic Bade,"€ 63,462","€ 3,300,000","€ 3,300,000",D,22,France,Sevilla,2022-2023,la-liga,,,,,,,,,,
Erik Lamela,"€ 63,462","€ 3,300,000","€ 3,300,000",F,30,Argentina,Sevilla,2022-2023,la-liga,,,,,,,,,,
Inaki Pena,"€ 62,500","€ 3,250,000","€ 3,250,000",K,24,Spain,Barcelona,2022-2023,la-liga,,,,,,,,,,
Thomas Lemar,"€ 62,500","€ 3,250,000","€ 3,250,000",F,27,France,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Adnan Januzaj,"€ 61,538","€ 3,200,000","€ 3,200,000",F,27,Belgium,Sevilla,2022-2023,la-liga,,,,,,,,,,
Mikel Merino,"€ 61,538","€ 3,200,000","€ 3,200,000",M,26,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Sergio Reguilon,"€ 61,346","€ 3,190,000","€ 3,190,000",D,26,Spain,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Alexander Sorloth,"€ 60,385","€ 3,140,000","€ 3,140,000",F,27,Norway,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Arnaut Danjuma,"€ 60,192","€ 3,130,000","€ 3,130,000",F,25,Netherlands,Villarreal,2022-2023,la-liga,,,,,,,,,,
Martin Braithwaite,"€ 60,000","€ 3,120,000","€ 3,120,000",F,31,Denmark,Espanyol,2022-2023,la-liga,,,,,,,,,,
Raul de Tomas,"€ 59,615","€ 3,100,000","€ 3,100,000",F,28,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Benjamin Lecomte,"€ 59,423","€ 3,090,000","€ 3,090,000",K,31,France,Espanyol,2022-2023,la-liga,,,,,,,,,,
Martin Zubimendi,"€ 57,692","€ 3,000,000","€ 3,000,000",M,23,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Ander Herrera,"€ 57,692","€ 3,000,000","€ 3,000,000",M,33,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Jordan Amavi,"€ 57,692","€ 3,000,000","€ 3,000,000",D,28,France,Getafe,2022-2023,la-liga,,,,,,,,,,
Asier Illarramendi,"€ 57,692","€ 3,000,000","€ 3,000,000",M,32,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Kasper Dolberg,"€ 57,692","€ 3,000,000","€ 3,000,000",F,24,Denmark,Sevilla,2022-2023,la-liga,,,,,,,,,,
Alex Collado,"€ 57,692","€ 3,000,000","€ 3,000,000",F,23,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Youssef En-Nesyri,"€ 57,692","€ 3,000,000","€ 3,000,000",F,25,Morocco,Sevilla,2022-2023,la-liga,,,,,,,,,,
Matheus Cunha,"€ 57,692","€ 3,000,000","€ 3,000,000",F,23,Brazil,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Martin Montoya,"€ 56,731","€ 2,950,000","€ 2,950,000",D,31,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Iago Aspas,"€ 55,769","€ 2,900,000","€ 2,900,000",F,35,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Marcos Acuna,"€ 55,769","€ 2,900,000","€ 2,900,000",D,31,Argentina,Sevilla,2022-2023,la-liga,,,,,,,,,,
Hugo Duro,"€ 55,577","€ 2,890,000","€ 2,890,000",F,23,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Raul Albiol,"€ 54,615","€ 2,840,000","€ 2,840,000",D,37,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Andriy Lunin,"€ 54,038","€ 2,810,000","€ 2,810,000",K,23,Ukraine,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Robin Le Normand,"€ 53,846","€ 2,800,000","€ 2,800,000",D,26,France,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Suso,"€ 53,846","€ 2,800,000","€ 2,800,000",F,29,Spain,Sevilla,2022-2023,la-liga,,,,,,,,,,
Fernando,"€ 53,846","€ 2,800,000","€ 2,800,000",M,35,Brazil,Sevilla,2022-2023,la-liga,,,,,,,,,,
Alex Remiro,"€ 53,846","€ 2,800,000","€ 2,800,000",K,27,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Dani Garcia,"€ 53,269","€ 2,770,000","€ 2,770,000",M,32,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Bono,"€ 51,923","€ 2,700,000","€ 2,700,000",K,31,Morocco,Sevilla,2022-2023,la-liga,,,,,,,,,,
Javi Galan,"€ 50,000","€ 2,600,000","€ 2,600,000",D,28,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Oriol Romeu,"€ 50,000","€ 2,600,000","€ 2,600,000",M,31,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Carles Perez,"€ 49,231","€ 2,560,000","€ 2,560,000",F,24,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Mauro Arambarri,"€ 48,462","€ 2,520,000","€ 2,520,000",M,27,Uruguay,Getafe,2022-2023,la-liga,,,,,,,,,,
Hector Bellerin,"€ 48,077","€ 2,500,000","€ 2,500,000",D,27,Spain,Barcelona,2022-2023,la-liga,,,,,,,,,,
Samu Castillejo,"€ 48,077","€ 2,500,000","€ 2,500,000",F,28,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Karim Rekik,"€ 48,077","€ 2,500,000","€ 2,500,000",D,28,Netherlands,Sevilla,2022-2023,la-liga,,,,,,,,,,
Joselu,"€ 48,077","€ 2,500,000","€ 2,500,000",F,32,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
German Pezzella,"€ 48,077","€ 2,500,000","€ 2,500,000",D,31,Argentina,Real Betis,2022-2023,la-liga,,,,,,,,,,
Isco,"€ 48,077","€ 2,500,000","€ 2,500,000",F,30,Spain,Sevilla,2022-2023,la-liga,,,,,,,,,,
Oihan Sancet,"€ 48,077","€ 2,500,000","€ 2,500,000",F,22,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Yeray Alvarez,"€ 46,154","€ 2,400,000","€ 2,400,000",D,28,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Kiko Casilla,"€ 46,154","€ 2,400,000","€ 2,400,000",K,36,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
Juanmi,"€ 46,154","€ 2,400,000","€ 2,400,000",F,29,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Bryan Gil,"€ 45,192","€ 2,350,000","€ 2,350,000",F,21,Spain,Sevilla,2022-2023,la-liga,,,,,,,,,,
William Carvalho,"€ 45,192","€ 2,350,000","€ 2,350,000",M,30,Portugal,Real Betis,2022-2023,la-liga,,,,,,,,,,
Oliver Torres,"€ 44,231","€ 2,300,000","€ 2,300,000",M,28,Spain,Sevilla,2022-2023,la-liga,,,,,,,,,,
Willian Jose,"€ 42,308","€ 2,200,000","€ 2,200,000",F,31,Brazil,Real Betis,2022-2023,la-liga,,,,,,,,,,
Alfonso Pedraza,"€ 42,308","€ 2,200,000","€ 2,200,000",D,26,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Iker Muniain,"€ 42,308","€ 2,200,000","€ 2,200,000",F,30,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Aritz Elustondo,"€ 42,308","€ 2,200,000","€ 2,200,000",D,28,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Brais Mendez,"€ 42,308","€ 2,200,000","€ 2,200,000",F,26,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Djene,"€ 42,308","€ 2,200,000","€ 2,200,000",D,31,Togo,Getafe,2022-2023,la-liga,,,,,,,,,,
Jaime Mata,"€ 41,154","€ 2,140,000","€ 2,140,000",F,34,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
Portu,"€ 40,577","€ 2,110,000","€ 2,110,000",F,30,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
Jaume Domenech,"€ 40,577","€ 2,110,000","€ 2,110,000",K,32,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Raul Garcia,"€ 40,000","€ 2,080,000","€ 2,080,000",F,36,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Nemanja Maksimovic,"€ 40,000","€ 2,080,000","€ 2,080,000",M,28,Serbia,Getafe,2022-2023,la-liga,,,,,,,,,,
Alex Telles,"€ 38,462","€ 2,000,000","€ 2,000,000",D,30,Brazil,Sevilla,2022-2023,la-liga,,,,,,,,,,
Marcos Andre,"€ 38,462","€ 2,000,000","€ 2,000,000",F,26,Brazil,Valencia,2022-2023,la-liga,,,,,,,,,,
Fran Beltran,"€ 38,462","€ 2,000,000","€ 2,000,000",M,23,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Takefusa Kubo,"€ 38,462","€ 2,000,000","€ 2,000,000",F,21,Japan,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Igor Zubeldia,"€ 38,462","€ 2,000,000","€ 2,000,000",D,26,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Alex Baena,"€ 38,462","€ 2,000,000","€ 2,000,000",F,21,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Juan Foyth,"€ 38,462","€ 2,000,000","€ 2,000,000",D,25,Argentina,Villarreal,2022-2023,la-liga,,,,,,,,,,
Hugo Guillamon,"€ 36,923","€ 1,920,000","€ 1,920,000",M,23,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Jesus Corona,"€ 36,538","€ 1,900,000","€ 1,900,000",F,30,Mexico,Sevilla,2022-2023,la-liga,,,,,,,,,,
Etienne Capoue,"€ 36,538","€ 1,900,000","€ 1,900,000",M,34,France,Villarreal,2022-2023,la-liga,,,,,,,,,,
Sergi Darder,"€ 36,538","€ 1,900,000","€ 1,900,000",M,29,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Rafa Mir,"€ 36,538","€ 1,900,000","€ 1,900,000",F,25,Spain,Sevilla,2022-2023,la-liga,,,,,,,,,,
Dimitri Foulquier,"€ 35,962","€ 1,870,000","€ 1,870,000",D,29,Guadeloupe,Valencia,2022-2023,la-liga,,,,,,,,,,
Thierry Correia,"€ 35,385","€ 1,840,000","€ 1,840,000",D,23,Portugal,Valencia,2022-2023,la-liga,,,,,,,,,,
Jesus Vallejo,"€ 34,615","€ 1,800,000","€ 1,800,000",D,26,Spain,Real Madrid,2022-2023,la-liga,,,,,,,,,,
Ezequiel Ponce,"€ 34,615","€ 1,800,000","€ 1,800,000",F,25,Argentina,Elche,2022-2023,la-liga,,,,,,,,,,
Oscar de Marcos,"€ 34,615","€ 1,800,000","€ 1,800,000",D,33,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Gonzalo Escalante,"€ 34,423","€ 1,790,000","€ 1,790,000",M,29,Argentina,Cadiz,2022-2023,la-liga,,,,,,,,,,
Asier Villalibre,"€ 34,038","€ 1,770,000","€ 1,770,000",F,24,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Toni Lato,"€ 33,846","€ 1,760,000","€ 1,760,000",D,25,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Hugo Mallo,"€ 33,654","€ 1,750,000","€ 1,750,000",D,31,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Alex Berenguer,"€ 32,692","€ 1,700,000","€ 1,700,000",F,27,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Unai Nunez,"€ 32,692","€ 1,700,000","€ 1,700,000",D,26,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Lucas Ocampos,"€ 32,692","€ 1,700,000","€ 1,700,000",F,28,Argentina,Sevilla,2022-2023,la-liga,,,,,,,,,,
Guido Rodriguez,"€ 32,692","€ 1,700,000","€ 1,700,000",M,28,Argentina,Real Betis,2022-2023,la-liga,,,,,,,,,,
Federico Fernandez,"€ 32,308","€ 1,680,000","€ 1,680,000",D,33,Argentina,Elche,2022-2023,la-liga,,,,,,,,,,
Ilaix Moriba,"€ 31,154","€ 1,620,000","€ 1,620,000",M,20,Guinea,Valencia,2022-2023,la-liga,,,,,,,,,,
Kenedy,"€ 31,154","€ 1,620,000","€ 1,620,000",F,26,Brazil,Valladolid,2022-2023,la-liga,,,,,,,,,,
Aissa Mandi,"€ 30,769","€ 1,600,000","€ 1,600,000",D,31,Algeria,Villarreal,2022-2023,la-liga,,,,,,,,,,
Joseph Aidoo,"€ 30,769","€ 1,600,000","€ 1,600,000",D,27,Ghana,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Borja Iglesias,"€ 30,769","€ 1,600,000","€ 1,600,000",F,30,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Sergio Canales,"€ 30,769","€ 1,600,000","€ 1,600,000",F,31,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Lisandro Magallan,"€ 30,000","€ 1,560,000","€ 1,560,000",D,29,Argentina,Elche,2022-2023,la-liga,,,,,,,,,,
Gonzalo Villar,"€ 29,615","€ 1,540,000","€ 1,540,000",M,24,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
David Soria,"€ 29,038","€ 1,510,000","€ 1,510,000",K,29,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
Victor Ruiz,"€ 28,846","€ 1,500,000","€ 1,500,000",D,34,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Joaquin,"€ 28,846","€ 1,500,000","€ 1,500,000",F,41,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Pape Gueye,"€ 28,846","€ 1,500,000","€ 1,500,000",M,24,Senegal,Sevilla,2022-2023,la-liga,,,,,,,,,,
Yunus Musah,"€ 28,846","€ 1,500,000","€ 1,500,000",M,20,United States,Valencia,2022-2023,la-liga,,,,,,,,,,
Javier Pastore,"€ 28,846","€ 1,500,000","€ 1,500,000",F,33,Argentina,Elche,2022-2023,la-liga,,,,,,,,,,
Anuar,"€ 28,846","€ 1,500,000","€ 1,500,000",M,28,Morocco,Valladolid,2022-2023,la-liga,,,,,,,,,,
Giorgi Mamardashvili,"€ 28,846","€ 1,500,000","€ 1,500,000",K,22,Georgia,Valencia,2022-2023,la-liga,,,,,,,,,,
Luis Suarez,"€ 28,846","€ 1,500,000","€ 1,500,000",F,25,Colombia,Almeria,2022-2023,la-liga,,,,,,,,,,
Chimy Avila,"€ 28,846","€ 1,500,000","€ 1,500,000",F,28,Argentina,Osasuna,2022-2023,la-liga,,,,,,,,,,
Pepe Reina,"€ 28,846","€ 1,500,000","€ 1,500,000",K,40,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Unai Vencedor,"€ 28,846","€ 1,500,000","€ 1,500,000",M,22,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Haris Seferovic,"€ 28,846","€ 1,500,000","€ 1,500,000",F,30,Switzerland,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Jose Luis Morales,"€ 28,846","€ 1,500,000","€ 1,500,000",F,35,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Cristian Rivero,"€ 27,885","€ 1,450,000","€ 1,450,000",K,24,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Darwin Machis,"€ 27,885","€ 1,450,000","€ 1,450,000",F,29,Venezuela,Valladolid,2022-2023,la-liga,,,,,,,,,,
Alvaro Garcia,"€ 27,885","€ 1,450,000","€ 1,450,000",F,30,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Viktor Tsyhankov,"€ 26,923","€ 1,400,000","€ 1,400,000",F,25,Ukraine,Girona,2022-2023,la-liga,,,,,,,,,,
Alberto Moreno,"€ 26,923","€ 1,400,000","€ 1,400,000",D,30,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Agustin Marchesin,"€ 26,923","€ 1,400,000","€ 1,400,000",K,34,Argentina,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Andres Guardado,"€ 26,923","€ 1,400,000","€ 1,400,000",M,36,Mexico,Real Betis,2022-2023,la-liga,,,,,,,,,,
Florian Lejeune,"€ 26,923","€ 1,400,000","€ 1,400,000",D,31,France,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Gonzalo Montiel,"€ 26,538","€ 1,380,000","€ 1,380,000",D,26,Argentina,Sevilla,2022-2023,la-liga,,,,,,,,,,
Yeremi Pino,"€ 25,962","€ 1,350,000","€ 1,350,000",F,20,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Rodrigo Battaglia,"€ 25,385","€ 1,320,000","€ 1,320,000",M,31,Argentina,Mallorca,2022-2023,la-liga,,,,,,,,,,
Manu Morlanes,"€ 25,192","€ 1,310,000","€ 1,310,000",M,23,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Manu Morlanes,"€ 25,192","€ 1,310,000","€ 1,310,000",M,24,Spain,Mallorca,2022-2023,la-liga,,,,,,,,,,
Juan Miranda,"€ 25,000","€ 1,300,000","€ 1,300,000",D,23,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Marko Dmitrovic,"€ 24,231","€ 1,260,000","€ 1,260,000",K,31,Serbia,Sevilla,2022-2023,la-liga,,,,,,,,,,
Samuel Lino,"€ 24,038","€ 1,250,000","€ 1,250,000",F,23,Brazil,Valencia,2022-2023,la-liga,,,,,,,,,,
Ayoze Perez,"€ 24,038","€ 1,250,000","€ 1,250,000",F,29,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Manu Trigueros,"€ 23,077","€ 1,200,000","€ 1,200,000",M,31,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Nahuel Molina,"€ 23,077","€ 1,200,000","€ 1,200,000",D,24,Argentina,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Edu Exposito,"€ 23,077","€ 1,200,000","€ 1,200,000",M,26,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Omar Alderete,"€ 23,077","€ 1,200,000","€ 1,200,000",D,26,Paraguay,Getafe,2022-2023,la-liga,,,,,,,,,,
Falcao,"€ 23,077","€ 1,200,000","€ 1,200,000",F,36,Colombia,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Isi Palazon,"€ 23,077","€ 1,200,000","€ 1,200,000",F,28,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Oscar Rodriguez,"€ 23,077","€ 1,200,000","€ 1,200,000",F,24,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Umar Sadiq,"€ 23,077","€ 1,200,000","€ 1,200,000",F,25,Nigeria,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Franco Cervi,"€ 23,077","€ 1,200,000","€ 1,200,000",F,28,Argentina,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Cristhian Stuani,"€ 23,077","€ 1,200,000","€ 1,200,000",F,36,Uruguay,Girona,2022-2023,la-liga,,,,,,,,,,
Sergi Gomez,"€ 23,077","€ 1,200,000","€ 1,200,000",D,30,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Edgar Gonzalez,"€ 23,077","€ 1,200,000","€ 1,200,000",D,25,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Claudio Bravo,"€ 23,077","€ 1,200,000","€ 1,200,000",K,40,Chile,Real Betis,2022-2023,la-liga,,,,,,,,,,
Ander Capa,"€ 23,077","€ 1,200,000","€ 1,200,000",D,30,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Diego Rico,"€ 23,077","€ 1,200,000","€ 1,200,000",D,29,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
